"filename","loc","nofe","nofeo","nofc","lof","lofmin","lofmax","lofmean","lofstd","nnimax","nnimean","nnistd","uscode","uderiv","udesc","scode","deriv","desc","het","hom","hethom","sdegmean","sdegstd","tdegmean","tdegstd","gotopbgr","gofunbgr","gostrbrl","gostrbrg","goinnbgr","goexpbgr","gostmbgr","gopambgr","goerror","logic","l_and","l_or","l_not","comp","c_lt","c_le","c_gt","c_ge","c_ne","c_eq","arith","a_plus","a_minus","a_mult","a_div","a_mod","a_shiftr","a_shiftl","bit","b_or","b_and"
"datetimemodule.c.xml",3391,6,4,4,17,1,10,2.83,3.6,2,1.25,0.5,0,0,0,0,2,0,6,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,5,2,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"traceback.c.xml",249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"frozenmain.c.xml",50,1,1,1,6,1,3,1.5,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"_ctypes_test.c.xml",661,8,7,6,182,0,56,12.13,18.16,2,1.07,0.27,1,1,0,2,2,0,8,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,9,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"signalmodule.c.xml",732,58,53,57,293,0,28,4.01,5.09,2,1.03,0.17,1,1,0,1,6,0,57,0,1,0,0,0,0,16,50,0,5,2,0,0,0,0,25,11,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ffi__10.c.xml",519,7,7,3,129,1,29,4.3,5.57,1,1,0,0,0,0,0,0,0,5,0,2,0,0,0,0,6,10,0,0,14,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pgen.h.xml",10,1,1,1,2,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"unicodedata_db.h.xml",5494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"svmodule.c.xml",741,1,1,1,11,1,10,5.5,6.36,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"x86-ffi_darwin.c.xml",351,6,1,4,330,1,201,33,63.12,3,2.1,0.57,2,1,0,0,4,1,6,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,12,7,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
